,X,m1.x,bs1,bs2,LRTbs1m1,LRTbs2bs1,AccPval,PosSelPval,AccPvaladj,PosSelPvaladj,m1.y,m2,m8,m8a,LRTm2m1,LRTm8m8a,pvalm2m1,pvalm8m8a,pvalm2m1adj,pvalm8m8adj
163,KRTAP9-2,-5462.898671,-5461.085008,-5456.270234,1.813663,4.814774,0.056838069,0.001914717,0.083783524,0.016566467,-3893.910119,-3860.056168,-3855.546141,-3883.369395,33.853951,27.823254,1.90E-16,8.67E-14,2.70E-15,1.44E-12
97,KRTAP10-8,-9162.230669,-9157.992271,-9153.422446,4.238398,4.569825,0.003597051,0.002501289,0.006627899,0.020739858,-6899.144912,-6895.393296,-6871.249751,-6874.52818,3.751616,3.278429,0.006158837,0.010448069,0.013178587,0.021001673
96,KRTAP10-7,-8731.242741,-8729.957211,-8725.856406,1.28553,4.100805,0.108834783,0.004185323,0.145356522,0.033315174,-6178.315159,-6161.655853,-6154.873482,-6164.162912,16.659306,9.28943,7.82E-09,1.63E-05,4.72E-08,6.49E-05
157,KRTAP6-1,-1793.437113,-1784.68138,-1780.872093,8.755733,3.809287,2.86E-05,0.005777015,7.19E-05,0.044216385,-1331.803723,-1325.853152,-1327.179975,-1331.799107,5.950571,4.619132,0.000560995,0.002370095,0.001346166,0.005421253
123,KRTAP20-1,-2254.225328,-2254.225666,-2251.01757,-0.000338,3.208096,1,0.011308439,1,0.083347386,-1642.559583,-1635.988489,-1636.086385,-1642.580036,6.571094,6.493651,0.000288721,0.000313611,0.000727283,0.000866785
154,KRTAP5-4,-2438.559489,-2436.163885,-2433.613405,2.395604,2.55048,0.028605358,0.023912606,0.046280213,0.169950304,-2114.943721,-2086.137686,-2086.301991,-2114.839994,28.806035,28.538003,3.19E-14,4.19E-14,3.74E-13,7.59E-13
113,KRTAP19-3,-3466.753049,-3466.753049,-3464.631556,0,2.121493,1,0.039412791,1,0.270453287,-2533.439119,-2527.968371,-2528.037555,-2540.954188,5.470748,12.916633,0.000940342,3.72E-07,0.002150898,2.41E-06
112,KRTAP19-2,-2233.438013,-2232.201451,-2230.198464,1.236562,2.002987,0.115807546,0.045339294,0.153638011,0.300750647,-1596.213809,-1582.350761,-1582.02027,-1596.176968,13.863048,14.156698,1.40E-07,1.03E-07,6.95E-07,7.60E-07
114,KRTAP19-4,-4102.4374,-4100.600183,-4098.658453,1.837217,1.94173,0.055253011,0.048763965,0.082054844,0.303250905,-3042.783156,-3025.772922,-3025.689976,-3042.811229,17.010234,17.121253,5.45E-09,4.87E-09,3.62E-08,3.87E-08
164,KRTAP9-3,-4844.616748,-4838.13132,-4836.168701,6.485428,1.962619,0.000316377,0.047566457,0.000707406,0.303250905,-3675.804012,-3668.402581,-3669.416093,-3674.468286,7.401431,5.052193,0.000119354,0.001479169,0.000325363,0.003634007
27,KRT1,-21378.02569,-21352.77784,-21350.93095,25.247848,1.846887,1.19E-12,0.054615906,7.87E-12,0.310530438,-18094.52664,-18082.47988,-17988.09497,-18001.46641,12.046762,13.37144,9.18E-07,2.32E-07,4.25E-06,1.65E-06
135,KRTAP27-1,-9163.575384,-9161.910887,-9160.059096,1.664497,1.851791,0.068068497,0.054295788,0.099600227,0.310530438,-7496.972533,-7486.795574,-7488.326738,-7496.984401,10.176959,8.657663,6.44E-06,3.17E-05,2.29E-05,0.00011456
144,KRTAP4-3,-7521.622643,-7520.440686,-7518.546357,1.181957,1.894329,0.124170298,0.051601005,0.162565062,0.310530438,-5515.088575,-5498.290177,-5472.870793,-5473.538132,16.798398,0.667339,6.78E-09,0.247974699,4.35E-08,0.397959396
117,KRTAP19-7,-2336.857242,-2336.857242,-2335.066905,0,1.790337,1,0.058455429,1,0.323128624,-1770.932038,-1759.263448,-1759.525826,-1770.989211,11.66859,11.463385,1.36E-06,1.68E-06,5.64E-06,8.81E-06
128,KRTAP21-3,-2286.435141,-2284.804106,-2283.066903,1.631035,1.737203,0.070899574,0.062325095,0.102985512,0.335207942,-1843.120515,-1830.516938,-1830.520488,-1842.948529,12.603577,12.428041,5.15E-07,6.18E-07,2.50E-06,3.62E-06
91,KRTAP10-2,-8422.072478,-8416.585999,-8414.992472,5.486479,1.593527,0.000924511,0.074223661,0.001885036,0.388697595,-7192.647936,-7182.999937,-7161.877601,-7170.279034,9.647999,8.401433,1.12E-05,4.15E-05,3.71E-05,0.000142287
130,KRTAP22-2,-1879.48478,-1877.298262,-1875.88586,2.186518,1.412402,0.036511884,0.092818223,0.05676457,0.473610931,-1547.755675,-1540.671751,-1540.579244,-1547.756875,7.083924,7.177631,0.000167203,0.000151356,0.000432123,0.00043652
158,KRTAP6-2,-1829.322439,-1824.948477,-1823.683399,4.373962,1.265078,0.003099547,0.111689174,0.005764578,0.555653639,-1429.967726,-1423.67654,-1424.401295,-1429.991437,6.291186,5.590142,0.000389402,0.000826711,0.000968638,0.002136565
108,KRTAP15-1,-6592.72849,-6592.530157,-6591.444204,0.198333,1.085953,0.528816116,0.140551936,0.60829137,0.682191106,-5128.875897,-5120.567228,-5120.113871,-5128.724682,8.308669,8.610811,4.57E-05,3.33E-05,0.000137886,0.000118202
132,KRTAP24-1,-10801.19605,-10801.19599,-10800.29101,5.70E-05,0.904981,0.991481086,0.178512788,1,0.845810593,-9074.646152,-9074.646189,-9067.925543,-9071.3996,-3.70E-05,3.474057,1,0.008390765,1,0.017576444
115,KRTAP19-5,-3001.557558,-2990.58025,-2989.718196,10.977308,0.862054,2.79E-06,0.189165113,7.72E-06,0.855542215,-2287.430339,-2279.418904,-2279.209553,-2287.326116,8.011435,8.116563,6.26E-05,5.60E-05,0.000185878,0.000182709
129,KRTAP22-1,-2078.882926,-2077.674586,-2076.80114,1.20834,0.873446,0.120049118,0.186267929,0.158210427,0.855542215,-1682.378007,-1675.240782,-1675.299985,-1682.530567,7.137225,7.230582,0.000157995,0.000143079,0.000413697,0.000418717
1,ACADM,-10394.91583,-10378.32335,-10378.32119,16.592477,0.002161,8.38E-09,0.947583298,3.40E-08,1,-8434.199437,-8429.063949,-8388.821429,-8393.506306,5.135488,4.684877,0.001351393,0.002205951,0.003055991,0.005104469
2,ANXA11,-12462.00658,-12459.75624,-12459.75624,2.250335,0,0.033881576,1,0.053511377,1,-9843.456522,-9843.45657,-9804.698896,-9801.27335,-4.80E-05,-3.425546,1,1,1,1
3,AP1M1,-7539.209216,-7537.746543,-7537.746543,1.462673,0,0.08719853,1,0.122160934,1,-6242.853165,-6242.853162,-6242.764235,-6242.764229,3.00E-06,-6.00E-06,0.998045592,1,1,1
4,ATP2A1,-22187.42918,-22171.40064,-22171.40064,16.028534,0,1.50E-08,1,5.73E-08,1,-17733.90579,-17733.9058,-17614.92089,-17615.42716,-4.00E-06,0.506277,1,0.314291756,1,0.48483767
5,C1orf95,-2403.912494,-2397.627307,-2397.627307,6.285187,0,0.00039191,1,0.000847719,1,-1856.865011,-1856.865011,-1846.244535,-1846.244535,0,0,1,1,1,1
6,CAMK2A,-7891.079506,-7891.079518,-7891.079512,-1.20E-05,6.00E-06,1,0.997236052,1,1,-6580.787407,-6580.782551,-6579.140692,-6579.140767,0.004856,7.50E-05,0.921495984,0.990228194,1,1
7,CDH23,-79335.50748,-79283.39354,-79283.39354,52.113938,0,1.80E-24,1,3.59E-23,1,-64016.06444,-64016.06472,-63439.48931,-63416.00213,-0.000274,-23.487175,1,1,1,1
8,CNOT7,-3711.994039,-3711.994039,-3711.99404,0,-1.00E-06,1,1,1,1,-3030.116377,-3028.06505,-3026.867728,-3026.86782,2.051327,9.20E-05,0.042815954,0.989177299,0.084360146,1
9,COL17A1,-48740.4371,-48727.8597,-48727.8597,12.577403,0,5.29E-07,1,1.73E-06,1,-39534.75661,-39500.79384,-39400.26249,-39440.78239,33.962778,40.519891,1.70E-16,2.21E-19,2.60E-15,7.34E-18
10,DSP,-75522.22184,-75423.66128,-75423.66128,98.560555,0,8.87E-45,1,3.53E-43,1,-59863.59069,-59863.59069,-59270.99225,-59270.99225,0,0,1,1,1,1
11,EDAR,-13182.10209,-13176.55112,-13176.55112,5.550967,0,0.000862377,1,0.001787636,1,-10587.94437,-10587.94445,-10465.51635,-10465.51635,-8.00E-05,0,1,1,1,1
12,ESRRG,-7310.269985,-7307.02397,-7307.023963,3.246015,7.00E-06,0.010835917,0.997014596,0.018750848,1,-6002.324861,-6002.324864,-5993.727278,-5993.72744,-3.00E-06,0.000162,1,0.985638853,1,1
13,FAM78B,-3210.742212,-3184.271943,-3184.271943,26.470269,0,3.44E-13,1,2.36E-12,1,-2543.770907,-2543.768429,-2543.904652,-2543.904652,0.002478,0,0.943876196,1,1,1
14,FBXL20,-5943.554503,-5939.345627,-5939.331094,4.208876,0.014533,0.003715749,0.864626736,0.006783799,1,-5107.087572,-5107.087575,-5102.657817,-5102.655466,-3.00E-06,-0.002351,1,1,1,1
15,FGF11,-3668.48237,-3654.675494,-3654.675494,13.806876,0,1.48E-07,1,5.20E-07,1,-2852.70326,-2852.70326,-2846.27886,-2846.27886,0,0,1,1,1,1
16,FOXN1,-16696.74842,-16693.89708,-16693.89708,2.851335,0,0.016939126,1,0.028326773,1,-13652.86252,-13652.86256,-13599.70996,-13599.72557,-4.50E-05,0.015608,1,0.859759357,1,1
17,GID8,-4674.181838,-4674.181838,-4674.181838,0,0,1,1,1,1,-3849.183027,-3849.183027,-3841.224146,-3841.224146,0,0,1,1,1,1
18,GLRA4,-8616.614116,-8601.452885,-8601.452885,15.161231,0,3.66E-08,1,1.37E-07,1,-6965.279052,-6965.279052,-6925.989748,-6927.087478,0,1.09773,1,0.138417882,1,0.23147192
19,HIST1H2BG,-2832.33646,-2832.814652,-2832.814652,-0.478192,0,1,1,1,1,-2075.714726,-2075.713467,-2076.011893,-2076.011893,0.001259,0,0.959979206,1,1,1
20,HMGCL,-8926.015001,-8921.902565,-8921.902565,4.112436,0,0.004132012,1,0.007475185,1,-7053.903396,-7047.037212,-7022.483511,-7032.751808,6.866184,10.268297,0.00021079,5.85E-06,0.000537785,2.77E-05
21,HOXA13,-3347.191087,-3333.390281,-3333.390281,13.800806,0,1.49E-07,1,5.20E-07,1,-2317.336849,-2317.336849,-2317.158841,-2317.345054,0,0.186213,1,0.541684851,1,0.810490867
22,HR,-38495.20098,-38473.10862,-38473.10862,22.092358,0,2.99E-11,1,1.52E-10,1,-30976.11361,-30976.11514,-30883.39136,-30885.66979,-0.001526,2.278436,1,0.032786903,1,0.058780124
23,IGSF22,-34734.99012,-34693.08125,-34693.08125,41.908867,0,5.43E-20,1,6.00E-19,1,-24965.14963,-24965.14963,-24936.17175,-24926.73346,0,-9.438299,1,1,1,1
24,ING4,-3566.664202,-3555.589329,-3555.589329,11.074873,0,2.52E-06,1,7.07E-06,1,-2879.631045,-2879.631057,-2872.613592,-2872.612547,-1.20E-05,-0.001045,1,1,1,1
25,JAZF1,-3702.135254,-3647.629244,-3647.286237,54.50601,0.343007,1.61E-25,0.407523485,4.01E-24,1,-2870.375183,-2870.375186,-2869.38245,-2869.381741,-3.00E-06,-0.000709,1,1,1,1
26,KCNJ11,-8668.675164,-8656.248152,-8656.248152,12.427012,0,6.18E-07,1,1.95E-06,1,-6970.734379,-6964.920518,-6906.340785,-6910.297714,5.813861,3.956929,0.000649761,0.004905754,0.001521205,0.010727967
28,KRT10,-16381.86562,-16343.67279,-16343.14778,38.19283,0.525009,2.33E-18,0.305502941,2.21E-17,1,-12725.26581,-12706.04144,-12671.58696,-12691.62968,19.224368,20.042727,5.62E-10,2.43E-10,4.14E-09,2.85E-09
29,KRT12,-16752.8984,-16746.95073,-16746.95073,5.947666,0,0.000562748,1,0.001191349,1,-13183.82452,-13183.82452,-13130.19015,-13133.54085,0,3.350701,1,0.009633713,1,0.019969884
30,KRT121P,-8183.737782,-8173.172231,-8173.172231,10.565551,0,4.29E-06,1,1.17E-05,1,-6088.428192,-6088.428192,-6057.19623,-6057.19623,0,0,1,1,1,1
31,KRT13,-13692.84535,-13688.38229,-13688.38229,4.463064,0,0.002811197,1,0.005327887,1,-10488.56464,-10488.56464,-10375.58662,-10379.60189,0,4.015269,1,0.004599518,1,0.010170044
32,KRT14,-11573.19082,-11561.97423,-11561.97423,11.216588,0,2.18E-06,1,6.28E-06,1,-9085.849781,-9077.492415,-8992.838903,-8999.876484,8.357366,7.037581,4.34E-05,0.000175648,0.000133,0.000499342
33,KRT15,-13934.70948,-13894.11368,-13894.11368,40.595807,0,2.05E-19,1,2.04E-18,1,-10684.34256,-10683.21989,-10550.77238,-10552.03409,1.122668,1.261711,0.134017795,0.112166938,0.256437896,0.189162887
34,KRT16,-15447.71661,-15438.92037,-15438.92037,8.796246,0,2.74E-05,1,6.98E-05,1,-11666.2007,-11662.54947,-11612.39511,-11612.62367,3.651232,0.22856,0.006886012,0.49897303,0.014577833,0.752239643
35,KRT16P2,-5747.374643,-5740.20604,-5740.20604,7.168603,0,0.000152815,1,0.000353606,1,-4308.583249,-4308.583249,-4281.606022,-4281.606022,0,0,1,1,1,1
36,KRT17,-10367.32736,-10365.47996,-10365.47996,1.847396,0,0.054582587,1,0.081668683,1,-7817.183197,-7817.183229,-7717.701107,-7717.701107,-3.20E-05,0,1,1,1,1
37,KRT18,-12067.49641,-12067.12458,-12067.12458,0.371838,0,0.388485863,1,0.462926268,1,-10019.42095,-10019.42095,-9925.202161,-9925.989917,0,0.787756,1,0.20940834,1,0.341575899
38,KRT2,-22714.10786,-22638.10915,-22637.61994,75.998707,0.489207,6.34E-35,0.322590678,2.10E-33,1,-17826.16085,-17826.16085,-17749.3291,-17757.63658,0,8.307483,1,4.58E-05,1,0.000154438
39,KRT20,-16521.65218,-16520.30837,-16520.30837,1.343813,0,0.101130385,1,0.136731525,1,-13674.68478,-13654.16965,-13637.74046,-13655.28714,20.515125,17.546681,1.50E-10,3.14E-09,1.24E-09,2.84E-08
40,KRT222,-6816.224054,-6814.777976,-6814.603321,1.446078,0.174655,0.089011736,0.554503982,0.122160934,1,-5819.361882,-5819.361882,-5776.413845,-5776.799764,0,0.385919,1,0.379649052,1,0.581155088
41,KRT23,-15521.05732,-15504.10213,-15504.10213,16.955189,0,5.77E-09,1,2.44E-08,1,-11695.85672,-11695.85672,-11610.39251,-11611.95749,0,1.564986,1,0.076865061,1,0.134176729
42,KRT24,-18659.35644,-18647.09996,-18647.0939,12.256482,0.006059,7.38E-07,0.912344512,2.30E-06,1,-15064.15829,-15064.15829,-15013.0864,-15013.13129,0,0.044887,1,0.764464665,1,1
43,KRT25,-12054.57496,-12044.14121,-12044.14121,10.433754,0,4.92E-06,1,1.32E-05,1,-9918.438062,-9918.438063,-9848.141904,-9848.22821,-1.00E-06,0.086306,1,0.677800797,1,0.991782049
44,KRT26,-18834.31922,-18785.238,-18785.238,49.081219,0,3.85E-23,1,5.48E-22,1,-14770.96235,-14770.96235,-14683.26251,-14684.10132,0,0.838801,1,0.195243395,1,0.321102774
45,KRT27,-14909.08768,-14886.55497,-14886.55497,22.532703,0,1.91E-11,1,1.02E-10,1,-11285.33306,-11285.33306,-11170.20162,-11168.93839,-1.00E-06,-1.263234,1,1,1,1
46,KRT28,-15613.55209,-15562.6854,-15562.6854,50.866687,0,6.35E-24,1,1.05E-22,1,-11706.57524,-11706.57534,-11633.30874,-11633.30874,-0.000104,0,1,1,1,1
47,KRT3,-18913.62528,-18912.7555,-18913.62528,0.869779,-0.869779,0.187194841,1,0.241894632,1,-15620.83009,-15605.72558,-15535.20557,-15552.66878,15.104504,17.46321,3.88E-08,3.42E-09,2.14E-07,2.96E-08
48,KRT31,-12158.59451,-12142.1512,-12142.1512,16.443311,0,9.77E-09,1,3.89E-08,1,-9297.983877,-9297.983877,-9153.74184,-9153.74184,0,0,1,1,1,1
49,KRT32,-15942.36764,-15933.64997,-15933.64997,8.717665,0,2.97E-05,1,7.30E-05,1,-12379.08699,-12374.55974,-12202.56569,-12206.49842,4.52725,3.932739,0.002620491,0.00503875,0.005794196,0.010899036
50,KRT33A,-10325.29351,-10293.14553,-10293.14552,32.147979,4.00E-06,1.07E-15,0.997743244,9.26E-15,1,-7800.539696,-7797.932276,-7658.66969,-7661.775896,2.60742,3.106206,0.022394908,0.012685767,0.045475374,0.024749682
51,KRT33B,-11227.27504,-11203.41267,-11203.41267,23.86237,0,4.90E-12,1,2.96E-11,1,-8476.76033,-8476.760522,-8335.100047,-8335.343756,-0.000192,0.243709,1,0.485081342,1,0.73687929
52,KRT34,-13004.41685,-12979.1943,-12979.1943,25.222552,0,1.23E-12,1,7.87E-12,1,-9575.858833,-9575.859045,-9446.861406,-9450.754575,-0.000212,3.893169,1,0.005264279,1,0.011264425
53,KRT35,-13648.30281,-13637.19095,-13637.19095,11.111862,0,2.43E-06,1,6.90E-06,1,-10536.56391,-10536.56394,-10423.42351,-10423.42493,-3.10E-05,0.001423,1,0.957454704,1,1
54,KRT36,-15039.6443,-15033.27972,-15033.27972,6.364579,0,0.000359999,1,0.00078725,1,-11701.48267,-11701.48267,-11574.87027,-11576.27739,0,1.407118,1,0.093431371,1,0.161676894
55,KRT37,-19389.43891,-19361.52615,-19361.52615,27.912767,0,7.92E-14,1,5.84E-13,1,-15522.77959,-15515.11073,-15436.49098,-15439.39208,7.668859,2.901097,8.99E-05,0.01600619,0.000257341,0.030335541
56,KRT38,-18758.97549,-18712.99495,-18712.99495,45.980534,0,8.84E-22,1,1.17E-20,1,-13776.97256,-13776.97259,-13601.35099,-13604.4306,-2.40E-05,3.079615,1,0.01307281,1,0.025257177
57,KRT39,-18244.98851,-18232.79161,-18232.79161,12.196901,0,7.85E-07,1,2.40E-06,1,-14721.1367,-14707.09155,-14683.07792,-14696.35644,14.045151,13.278519,1.16E-07,2.56E-07,5.91E-07,1.76E-06
58,KRT4,-15892.33427,-15883.76115,-15883.76115,8.573123,0,3.46E-05,1,8.40E-05,1,-12576.26918,-12576.26918,-12462.33699,-12462.91144,0,0.574452,1,0.283778698,1,0.44466111
59,KRT40,-14820.12618,-14808.2981,-14808.2981,11.828076,0,1.15E-06,1,3.37E-06,1,-11798.54461,-11795.14962,-11753.2906,-11757.42501,3.394988,4.134407,0.009167114,0.004033184,0.019202692,0.009018019
60,KRT5,-16674.68155,-16639.30996,-16639.30996,35.371591,0,4.07E-17,1,3.68E-16,1,-12627.73386,-12627.73393,-12501.64262,-12501.64262,-6.50E-05,0,1,1,1,1
61,KRT6A,-15454.78314,-15441.2108,-15441.2108,13.572341,0,1.89E-07,1,6.48E-07,1,-12797.59377,-12797.59377,-12690.08235,-12696.41613,0,6.333781,1,0.000372054,1,0.00101423
62,KRT6B,-21920.30314,-21910.90694,-21910.90694,9.396207,0,1.46E-05,1,3.77E-05,1,-16441.98518,-16441.98518,-16354.54979,-16362.22301,0,7.673216,1,8.95E-05,1,0.000278257
63,KRT6C,-18156.94857,-18101.98141,-18101.98141,54.967158,0,1.01E-25,1,2.88E-24,1,-13275.011,-13270.28776,-13181.11062,-13186.22123,4.723234,5.11061,0.002115561,0.00138834,0.004730299,0.003453495
64,KRT7,-16856.30216,-16854.85595,-16854.85595,1.446213,0,0.088996821,1,0.122160934,1,-13054.05227,-13052.83491,-12874.51654,-12877.28606,1.21736,2.769516,0.118675084,0.018596867,0.229284871,0.034912985
65,KRT71,-13187.89787,-13166.69459,-13166.69459,21.203281,0,7.41E-11,1,3.60E-10,1,-10557.61324,-10557.61331,-10452.96212,-10452.96212,-6.40E-05,0,1,1,1,1
66,KRT72,-18342.6354,-18311.65555,-18311.65555,30.979844,0,3.51E-15,1,2.91E-14,1,-13604.18868,-13604.18877,-13396.34404,-13396.34404,-8.50E-05,0,1,1,1,1
67,KRT73,-16239.09644,-16188.1245,-16188.1245,50.971942,0,5.71E-24,1,1.03E-22,1,-12649.99205,-12649.99205,-12548.75431,-12548.79563,0,0.041322,1,0.773745813,1,1
68,KRT74,-19003.00081,-18980.78187,-18980.78187,22.218933,0,2.63E-11,1,1.37E-10,1,-14623.82458,-14623.64241,-14526.82529,-14526.83538,0.182171,0.010092,0.546104633,0.887024394,1,1
69,KRT75,-18163.72049,-18121.41729,-18121.41729,42.3032,0,3.64E-20,1,4.26E-19,1,-13866.19705,-13866.19705,-13710.92247,-13710.98866,-1.00E-06,0.066195,1,0.715966763,1,1
70,KRT76,-21460.49749,-21459.14524,-21459.14524,1.352256,-7.00E-06,0.100064697,1,0.136389553,1,-17530.75446,-17522.27935,-17451.80959,-17454.96765,8.475112,3.158054,3.84E-05,0.011964596,0.000121209,0.023573807
71,KRT77,-20705.53971,-20655.11786,-20655.11786,50.421851,0,9.95E-24,1,1.52E-22,1,-16641.63969,-16641.63969,-16543.59972,-16549.00413,0,5.404413,1,0.001010173,1,0.002544614
72,KRT78,-19401.59644,-19399.72186,-19399.72186,1.874585,0,0.052833741,1,0.079822521,1,-15516.25784,-15516.25795,-15403.7602,-15405.84087,-0.000113,2.080669,1,0.041356722,1,0.073482033
73,KRT79,-17030.59601,-17008.72801,-17008.72801,21.867998,0,3.76E-11,1,1.87E-10,1,-13638.09341,-13631.8374,-13530.88562,-13531.04346,6.256013,0.157834,0.000404341,0.574222723,0.000993381,0.846446829
74,KRT8,-15242.12863,-15240.1934,-15240.1934,1.935224,0,0.049143402,1,0.075227208,1,-12283.75379,-12283.75379,-12084.92963,-12084.92963,0,0,1,1,1,1
75,KRT80,-13460.94348,-13438.18991,-13438.18991,22.75357,0,1.52E-11,1,8.65E-11,1,-10621.80255,-10621.80256,-10510.23984,-10510.23984,-2.00E-06,0,1,1,1,1
76,KRT81,-15480.16826,-15457.52816,-15457.52816,22.640106,0,1.71E-11,1,9.44E-11,1,-11797.11804,-11797.11804,-11625.76747,-11625.76747,0,0,1,1,1,1
